kí,记,literary,,,
kí,忌,literary,,,
kí,锯,literary,,,
kí,巨,literary,,,
kí,句,literary,,,
kí,惧,literary,,,
kì,□,colloquial,kìnàan (今天),,
kì,□,colloquial,kìnian (今年),,
kǐ,□,colloquial,sín'kǐ 身□ (怀孕),,
kǐ,举,same,,,
kǐ,矩,same,,,
kǐ,几,literary,,,
kî,忌,colloquial,,,
khí,欺,colloquial,,,
khí,拘,colloquial,,,
khí,驱,same,,,
khí,区,literary,,,
khi,期,colloquial,,,
khi,奇,colloquial,,,
khi,祈,colloquial,,,
khì,器,colloquial,,,
khì,戏,colloquial,,,
khǐ,起,colloquial,,,
khǐ,喜,colloquial,,,
khǐ,企,literary,,,
khî,祈,literary,,,
khî,奇,literary,,,
khî,其,literary,,,
khî,期,literary,,,
khî,渠,literary,,,
qí,□,colloquial,?aaqíqí “阿二” (二儿子的昵称),,
qi,疑,colloquial,,,
qi,如,colloquial,,,
qi,鱼,colloquial,,,
qi,义,same,,,
qi,二,literary,,,
qi,遇,literary,,,
qǐ,议,same,,,
qǐ,语,same,,,
qǐ,尔,literary,,,
qǐ,耳,literary,,,
qî,耳,colloquial,,,
qî,遇,colloquial,,,
qî,□,colloquial,?aaqíqî “阿二” (二儿子的昵称),,
qî,而,same,,,
qî,仪,literary,,,
qî,宜,literary,,,
qî,鱼,literary,,,
qî,儿,literary,,,
qî,疑,literary,,,
qî,如,literary,,,
qî,愚,literary,,,
ʔí,伊,same,(他/她/它/他们/她们/它们),,
ʔí,衣,same,,,
ʔí,依,same,,,
ʔí,医,same,,,
ʔí,於,same,,,
ʔí,于,literary,,,
ʔí,易,literary,,,
ʔí,鹭,literary,,,
ʔǐ,余,colloquial,,,
ʔǐ,馀,colloquial,,,
ʔǐ,易,colloquial,,,
ʔǐ,预,same,,,
ʔǐ,意,literary,,,
ʔǐ,愈,literary,,,
ʔi,意,colloquial,,,
ʔi,愈,colloquial,,,
ʔì,已,same,,,
ʔì,以,same,,,
ʔì,與,same,,,
ʔì,羽,same,,,
ʔì,椅,literary,,,
ʔì,雨,literary,,,
ʔî,夷,same,,,
ʔî,姨,same,,,
ʔî,榆,same,,,
ʔî,祈,literary,,,
ʔî,移,literary,,,
ʔî,异,literary,,,
ʔî,馀,literary,,,
ʔî,余,literary,,,
ʔî,逾,literary,,,
ʔî,儒,literary,,,
hí,墟,same,,,
hí,熙,same,,,
hí,虚,same,,,
hí,希,colloquial,,,
hí,稀,literary,,,
hí,欺,literary,,,
hi,气,literary,,,
hi,器,literary,,,
hi,弃,literary,,,
hi,戏,literary,,,
hi,去,literary,,,
hi,汽,literary,,,
pe,排,colloquial,,,
pe,牌,colloquial,,,
pê,败,colloquial,,,
phè,稗,colloquial,,,
mé,□,colloquial,FP,,
me,埋,colloquial,(走近),,
me,□,colloquial,FP,,
mě,买,colloquial,,,
mê,卖,colloquial,,,
té,低,colloquial,,,
te,提,colloquial,,,
te,题,colloquial,,,
te,第,colloquial,,,
tè,帝,colloquial,,,
tě,抵,colloquial,,,
tě,底,colloquial,,,
thè,替,colloquial,,,
thě,体,colloquial,,,
né,□,colloquial,FP,,
lé,□,colloquial,FP,,
le,犁,colloquial,,,
le,□,colloquial,FP,,
lě,礼,colloquial,,,
cé,斋,colloquial,□ FP,,
ce,齐,colloquial,□ FP,,
cè,祭,colloquial,,,
ché,妻,colloquial,,,
chè,砌,colloquial,,,
chè,□,colloquial,(花),,
sé,西,colloquial,,,
sè,细,colloquial,,,
sě,洗,colloquial,,,
sê,□,colloquial,(多) 见福方“価”,,
je,移,colloquial,,,
je,爷,colloquial,,,
jě,嘢,colloquial,(东西),,
jě,野,literary,,,
jê,耶,literary,,,
ke,街,colloquial,,,
ke,□,colloquial,kêkêke?ô (公鸡鸣啼声),,
ke,嘅,colloquial,(从属小品词) □ FP,,
kè,界,colloquial,,,
kě,解,colloquial,,,
kê,个,colloquial,□ kêkêke?ô (公鸡鸣啼声),,
khe,□,colloquial,laam khe'khe 蓝□□ (很蓝),,
khè,快,colloquial,,,
?é,挨,colloquial,□ 叹词,,
?é,□,colloquial,FP,,
?e,鞋,colloquial,□ FP,,
?ě,矮,colloquial,,,
?ě,□,colloquial,ci? (为什么),,
?ê,会,colloquial,(能够)，见福方“解”,,
hé,□,colloquial,qiawhêhé “摇呀摇” (用于摇篮曲),,
hê,蟹,colloquial,,,
pú,波,colloquial,púlèk “波碌” (柚子),,
pu,捕,same,,,
pu,步,same,,,
pu,布,same,,,
pu,部,literary,,,
pu,布,literary,,,
pǔ,补,literary,,,
phú,铺,colloquial,,,
phu,□,colloquial,(想; 认为),,
phu,扶,colloquial,,,
phu,铺,literary,,,
phǔ,普,same,,,
phǔ,甫,literary,,,
phû,蒲,same,,,
phû,菩,same,,,
mu,模,colloquial,,,
mu,募,same,,,
mu,慕,same,,,
mu,暮,same,,,
mu,务,literary,,,
mǔ,舞,colloquial,(跳舞; 耍弄玩具等),,
mû,模,colloquial,,,
mû,无,literary,,,
fú,肤,colloquial,,,
fú,呼,same,,,
fú,夫,same,,,
fú,敷,literary,,,
fu,狐,colloquial,,,
fu,胡,colloquial,,,
fu,湖,colloquial,,,
fu,壶,colloquial,,,
fu,□,colloquial,síawfufu “烧呼呼” (滚烫),,
