Line 1668: 珐 | XHZD: fá (fa2) | CEDICT: ['fa4']
Line 1669: 帆 | XHZD: fá (fa2) | CEDICT: ['fan1']
Line 1716: 彷 | XHZD: fǎng (fang3) | CEDICT: ['pang2']
Line 1729: 蜚 | XHZD: fēi (fei1) | CEDICT: ['fei3']
Line 1777: 坋 | XHZD: fèn (fen4) | CEDICT: ['ben4']
Line 1809: 葑 | XHZD: fèng (feng4) | CEDICT: ['feng1']
Line 1851: 垺 | XHZD: fú (fu2) | CEDICT: ['pou2']
Line 1867: 枹 | XHZD: fú (fu2) | CEDICT: ['fu1']
Line 1877: 父 | XHZD: fǔ (fu3) | CEDICT: ['fu4']
Line 1914: 洑 | XHZD: fù (fu4) | CEDICT: ['fu2']
Line 1921: 夹 | XHZD: gā (ga1) | CEDICT: ['jia2', 'jia1', 'jia4']
Line 1923: 伽 | XHZD: gā (ga1) | CEDICT: ['jia1']
Line 1926: 戛 | XHZD: gā (ga1) | CEDICT: ['jia2']
Line 1927: 嘎 | XHZD: gā (ga1) | CEDICT: ['ga2']
Line 1935: 嘎 | XHZD: gǎ (ga3) | CEDICT: ['ga2']
Line 1992: 矼 | XHZD: gāng (gang1) | CEDICT: ['jiang1']
Line 2000: 钢 | XHZD: gàng (gang4) | CEDICT: ['gang1']
Line 2042: 颌 | XHZD: gé (ge2) | CEDICT: ['he2']
Line 2057: 各 | XHZD: gě (ge3) | CEDICT: ['ge4']
Line 2077: 粳 | XHZD: gēng (geng1) | CEDICT: ['jing1']
Line 2095: 红 | XHZD: gōng (gong1) | CEDICT: ['hong2']
Line 2161: 骨 | XHZD: gū (gu1) | CEDICT: ['gu3']
Line 2162: 蓇 | XHZD: gū (gu1) | CEDICT: ['gu3']
Line 2170: 蛄 | XHZD: gǔ (gu3) | CEDICT: ['gu1']
Line 2179: 鹘 | XHZD: gǔ (gu3) | CEDICT: ['hu2']
Line 2202: 呱 | XHZD: guā (gua1) | CEDICT: ['gu1']
Line 2209: 呱 | XHZD: guǎ (gua3) | CEDICT: ['gu1']
Line 2217: 掴 | XHZD: guāi又guó (guaiguo2) | CEDICT: ['guai1']
Line 2223: 纶 | XHZD: guān (guan1) | CEDICT: ['lun2']
Line 2229: 矜 | XHZD: guān (guan1) | CEDICT: ['jin1']
Line 2259: 广 | XHZD: guāng (guang1) | CEDICT: ['guang3', 'yan3']
Line 2275: 廆 | XHZD: guī (gui1) | CEDICT: ['hui4']
Line 2317: 国 | XHZD: guō (guo1) | CEDICT: ['guo2']
Line 2318: 掴 | XHZD: guó（又） (guo2) | CEDICT: ['guai1']
Line 2337: 哈 | XHZD: hà (ha4) | CEDICT: ['ha1', 'ha3']
Line 2352: 犴 | XHZD: hān (han1) | CEDICT: ['an4']
Line 2360: 虷 | XHZD: hán (han2) | CEDICT: ['gan1']
Line 2375: 蔊 | XHZD: hàn (han4) | CEDICT: ['han3']
Line 2376: 阚 | XHZD: hán (han2) | CEDICT: ['kan4']
Line 2377: 㘎 | XHZD: hán (han2) | CEDICT: ['han3']
Line 2378: 汉 | XHZD: hán (han2) | CEDICT: ['han4']
Line 2380: 闬 | XHZD: hán (han2) | CEDICT: ['han4']
Line 2384: 捍 | XHZD: hán (han2) | CEDICT: ['han4']
Line 2387: 蔊 | XHZD: hàn (han4) | CEDICT: ['han3']
Line 2405: 巷 | XHZD: hàng (hang4) | CEDICT: ['xiang4']
Line 2413: 貉 | XHZD: háo (hao2) | CEDICT: ['he2', 'mo4']
Line 2426: 皓 | XHZD: háo (hao2) | CEDICT: ['hao4']
Line 2429: 镐 | XHZD: háo (hao2) | CEDICT: ['hao4', 'gao3']
Line 2431: 颢 | XHZD: háo (hao2) | CEDICT: ['hao4']
Line 2432: 灏 | XHZD: háo (hao2) | CEDICT: ['hao4']
Line 2475: 熇 | XHZD: hè (he4) | CEDICT: ['kao3']
Line 2481: 嗨 | XHZD: hēi (hei1) | CEDICT: ['hai1']
Line 2501: 噷 | XHZD: hm (hm) | CEDICT: ['hen4']
Line 2502: 哼 | XHZD: hng (hng) | CEDICT: ['heng1']
Line 2525: 黉 | XHZD: hòng (hong4) | CEDICT: ['hong2']
Line 2556: 戏 | XHZD: hū (hu1) | CEDICT: ['xi4']
Line 2557: 沕 | XHZD: hū (hu1) | CEDICT: ['wu4']
Line 2579: 壶 | XHZD: hù (hu4) | CEDICT: ['hu2']
Line 2580: 核 | XHZD: hú (hu2) | CEDICT: ['he2']
Line 2584: 鹘 | XHZD: hù (hu4) | CEDICT: ['hu2']
Line 2637: 坏 | XHZD: huái (huai2) | CEDICT: ['huai4']
Line 2642: 郇 | XHZD: huán (huan2) | CEDICT: ['xun2']
Line 2673: 睆 | XHZD: huàn (huan4) | CEDICT: ['huan3']
