𮩝（餲）,3,右栏第6条,ài,无,12画,食物经久而变味。
隘,3,右栏第7条,ài,一级,12画,❶险要的地方：要～。❷狭窄，狭小（连：狭–）：路～林深。
嗌,3,右栏第8条,ài,二级,13画,噎，食物塞住嗓子。另见yì。
碍,3,右栏第9条,ài,一级,13画,妨害，阻挡：～口（不便说）|～事不～事？|～手～脚。
厂,3,右栏第10条,ān,一级,2画,"同“庵”。多用于人名。
另见chǎng。"
广,4,左栏第1条,guǎng,一级,3画,同“庵”。多用于人名。另见guǎng。
安,4,左栏第2条,ān,一级,6画,❶平静，稳定：～定|～心（心情安定）|～居乐业。❷使平静，使安定（多指心情）：～神|～民告示。❸安全，平安，跟“危”相对：～康|治～|转危为～。❹安置，装设（连：–装）：～排|～营扎寨|～电灯。❺存着，怀着（多指不好的念头）：你～的什么心？❻文言代词，哪里：而今～在？|～能如此？❼（外）电流单位名安培的简称，符号A。
垵,4,左栏第3条,ān,三级,9画,用于地名：曾厝～（在福建省厦门）。另见ǎn。
桉,4,左栏第4条,ān,二级,10画,桉树，常绿乔木，树干高而直，木质坚韧，供建筑用，树皮和叶可入药，枝叶可提制桉油。
氨,4,左栏第5条,ān,一级,10画,无机化合物，气体，无色而有恶臭。可用来制硝酸、肥料和炸药。
𩽾（鮟）,4,左栏第6条,ān,三级,14画,［𩽾𩾌］（–kāng）鱼名，俗称老头儿鱼，身体前半部平扁，圆盘形，尾部细小，全身无鳞，能发出像老人咳嗽的声音，生活在深海。
鞍（△*鞌）,4,右栏第1条,ān,一级,15画,（–子）放在骡马等背上承载重物或供人骑坐的器具。
鞌,4,右栏第2条,ān,无,15画,"❶见“鞍”。
❷用于古地名：～之战。"
庵（*菴）,4,右栏第3条,ān,一级,11画,"❶圆形草屋：结草为～。
❷小庙（多指尼姑居住的）：～堂。"
鹌（鵪）,4,右栏第4条,ān,二级,13画,鹌鹑］（–chun）鸟名，头小尾短，羽毛赤褐色，杂有暗黄色条纹，雄的好斗。
谙（諳）,4,右栏第5条,ān,二级,11画,"熟悉：不～水性。
［谙练］熟习，有经验。"
盦,4,右栏第6条,ān,三级,16画,"古代一种器皿。
❷同“庵”。多用于人名。"
玵,4,右栏第7条,án,无,9画,美玉。
垵,4,右栏第8条,ǎn,三级,9画,同“埯”。
铵（銨）,4,右栏第9条,ǎn,二级,11画,铵根，从氨衍生所得的带正电荷的根，在化合物中的地位相当于金属离子。
俺,4,右栏第10条,ǎn,一级,10画,〈方〉代词，我，我们：～村|～们|～那里出棉花。
埯,4,右栏第11条,ǎn,二级,11画,❶点播种子挖的小坑。❷挖小坑点种：～瓜|～豆。❸（–儿）量词，用于点种的植物：一～儿花生。
唵,5,左栏第1条,ǎn,二级,11画,❶把食物放在手里吞食：～了几口炒米。❷佛教咒语的发声词。
揞,5,左栏第2条,ǎn,无,12画,用手指把药粉等按在伤口上。
犴,5,左栏第3条,àn,三级,6画,见“狴”字条“狴犴”（bì–）。另见hān。
岸（*㟁）,5,左栏第4条,àn,一级,8画,"❶江、河、湖、海等水边的陆地：河～|船靠～了。
❷高大：伟～。"
按,5,左栏第5条,àn,一级,9画,❶用手压或摁（èn）：～脉|～电铃|～摩。❷止住，压住：～兵不动|～下此事先不表。❸介词，依照：～理说你应该去|～人数算|～部就班（依照程序办事）|～图索骥（比喻办事拘泥，也指根据线索去寻求）。❹经过考核研究后下论断：～语|编者～。
胺,5,左栏第6条,àn,二级,10画,有机化合物，是氨的氢原子被烃（tīng）基取代而成的。
案,5,左栏第7条,àn,一级,10画,❶长形的桌子。❷机关或团体中记事的案卷：备～|有～可查。❸提出计划、办法等的文件：提～|议～。❹事件：五卅惨～。特指涉及法律问题的事件：～情|犯～|破～。❺古时候端饭用的木盘：举～齐眉（形容夫妇互相敬重）。❻旧同“按④”。
暗（*晻、①④*闇）,5,右栏第1条,àn,一级,13画,"❶不亮，光线微弱，跟“明”相对：～中摸索|这间屋子太～。
［暗淡］昏暗，不光明：光线～|前途～。
❷（颜色）浓重，不鲜亮：～红|～绿。
❸不公开的，隐藏不露的，跟“明”相对：～号|～杀|心中～喜。
❹愚昧，糊涂：明于知彼，～于知己。"
黯,5,右栏第2条,àn,一级,21画,昏黑。［黯然］昏暗的样子。喻：心神沮丧：～泪下。
肮（骯）,5,右栏第3条,āng,一级,8画,［肮脏］（–zāng）不干净。引：卑鄙丑陋：～的灵魂。
卬,5,右栏第4条,áng,三级,4画,"❶文言代词，我。
❷古同“昂”。
❸姓。
另见yǎng。"
昂,5,右栏第5条,áng,一级,8画,"❶仰，高抬：～首挺胸。
❷高，贵：～贵|价～。
❸情绪高（叠）：～扬|激～|气～～。"
盎,5,右栏第6条,àng,二级,10画,"❶古代的一种盆，腹大口小。
❷盛（shèng）：春意～然|兴味～然。"
凹,6,左栏第1条,āo,一级,5画,洼下，跟“凸”相对：～透镜|～凸不平。
熬,6,左栏第2条,āo,一级,14画,煮：～菜。另见áo。
爊（**𤏶）,6,左栏第3条,āo,无,19画,"❶放在微火上煨熟。
❷同“熬”。"
敖,6,左栏第4条,áo,二级,10画,"❶古同“遨”。
❷姓。"
嶅,6,左栏第5条,áo,三级,13画,嶅山，山名，一在山东省新泰，一在广东省东北部。［嶅阴］地名，在山东省新泰。
遨,6,左栏第6条,áo,二级,13画,遨游，游逛。
嗷,6,左栏第7条,áo,二级,13画,拟声词，形容嘈杂声、喊叫声（叠）：～～待哺。
廒（**厫）,6,左栏第8条,áo,三级,13画,储藏粮食的仓房：仓～。
璈,6,左栏第9条,áo,三级,14画,古代的一种乐器。
獒,6,左栏第10条,áo,二级,14画,一种狗，身体大，凶猛善斗，能帮助人打猎。
熬,6,左栏第11条,áo,一级,14画,❶久煮：～粥|～药。❷忍受，耐苦支撑：～夜|～红了眼睛。另见āo。
聱,6,右栏第1条,áo,二级,16画,话不顺耳。［聱牙］文句念着不顺口：佶屈～。
螯,6,右栏第2条,áo,二级,16画,螃蟹等甲壳动物变形的第一对脚，形状像钳子，能开合，用来取食、自卫。
謷,6,右栏第3条,áo,无,17画,诋毁：訾（zǐ）～。
鳌（鰲、*鼇）,6,右栏第4条,áo,二级,18画,传说中海里的大鳖。
翱（*翺）,6,右栏第5条,áo,二级,16画,［翱翔］（–xiáng）展开翅膀回旋地飞：雄鹰在天空～。
鏖,6,右栏第6条,áo,二级,19画,激烈地战斗：～战|赤壁～兵。
拗（*抝）,6,右栏第7条,ǎo,一级,8画,"〈方〉弯曲使断，折：竹竿～断了。
另见ào；niù。"
袄（襖）,6,右栏第8条,ǎo,一级,9画,有衬里的上衣：夹～|棉～|皮～。
媪,6,右栏第9条,ǎo,二级,12画,年老的妇人。
岙（**嶴）,6,右栏第10条,ào,三级,7画,浙江、福建等沿海一带把山间平地叫“岙”。
垇,6,右栏第11条,ào,无,8画,同“坳”。多用于地名：黄～（在江西省井冈山市）。
坳,6,右栏第12条,ào,二级,8画,山间平地：山～。
拗（*抝）,7,左栏第1条,ào,一级,8画,"不顺，不顺从：～口|违～。
另见ǎo；niù。"
奡,7,左栏第2条,ào,三级,12画,"❶古同“傲”。
❷矫健：排～（文章有力）。
❸用于地名：～村（在河南省延津）。"
