id	zi	fyt	py
6286	史		shǐ
6287	驶	（駛）	shǐ
6288	矢		shǐ
6300	贳	（貰）	shì
6305	试	（試）	shì
6618	嗦		suo
6670	摊	（攤）	tān
6687	镡	（鐔）	tán
6713	鄌		táng
6826	鿬		tián
6879	𬘩	（綎）	tīng
6933	𦒍		tóng
6992	吞		tūn
7174	喂	（②③*餧、②③*餵）	wèi
7215	揾		wèn
7247	乌	（烏）	wū
7390	醯		xī
7398	𠅤		xí
7752	盱		xū
7799	蓿		xu
7836	铉	（鉉）	xuàn
7846	薛		xuē
7957	筵		yán
7992	郾		yǎn
8105	药	（藥）	yào
8154	祎	（禕）	yī
8257	羿		yì
8453	𬨎	（輶）	yóu
8761	遭		zāo
8770	皂	（*皁）	zào
8771	唣	（*唕）	zào
8772	灶	（竈）	zào
8791	笮		zé
8856	斋	（齋、*亝）	zhāi
8857	摘		zhāi
8957	蜇		zhé
8984	桢	（楨）	zhēn
9072	榰		zhī
9278	转	（轉）	zhuǎn
9318	准	（②—⑩準）	zhǔn
9397	恣		zì
9426	租		zū
